"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","PROJECT__C","DESCRIPTION__C","CATEGORY__C","PROJECT_BUDGET_EXTERNAL_ID__C","COSTS__C"
"a00J0000004kVZWIA2","false","PB-012251","2013-07-08T07:28:42.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFo6IAH","Operationele kosten zoals leraren, onderhoud en materiaal.","","56","0.0"
"a00J0000004kVZXIA2","false","PB-012278","2013-07-08T07:29:04.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEvfIAH","Met uw hulp wordt aan kansarme jongeren een toekomstperspectief geboden; ze worden getraind en begeleid naar werk.","","120","4346.0"
"a00J0000004kVZYIA2","false","PB-012291","2013-07-08T07:29:16.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEyGIAX","Aankoop van zoveel mogelijk bibliotheekboeken voor kinderen in de lagere school leeftijd.","","144","750.0"
"a00J0000004kVZZIA2","false","PB-012295","2013-07-08T07:29:19.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEv2IAH","Vervoer van kinderen naar naschoolse opvang in Curaçao","","155","7000.0"
"a00J0000004kVZaIAM","false","PB-012226","2013-07-08T07:28:22.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAvIAP","In het TRC (Teachers Resource Centre) komt een dvd-speler met dataprojector en een verzameling educatieve dvd's die door de scholen in de regio geleend kunnen worden.","","25","512.0"
"a00J0000004kVZbIAM","false","PB-012279","2013-07-08T07:29:05.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAQIA5","Het geld is nodig voor betere voeding voor onze 40 kinderen in het tehuis, momenteel eten we rijst, rijst en waterrijst met af en toe een groentje...","","123","1200.0"
"a00J0000004kVZcIAM","false","PB-012289","2013-07-08T07:29:14.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEwJIAX","Materiaalkosten: 
Papier, tekenmateriaal, polaroidfoto’s, printkosten       R$ 850,- = €333,33","","7055","333.0"
"a00J0000004kVZdIAM","false","PB-012318","2013-07-08T07:29:37.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFCpIAP","Het geld is nodig om zes ossen te kopen en om in de kosten van de medische zorg van de dieren te voorzien.","","208","1240.0"
"a00J0000004kVZeIAM","false","PB-012391","2013-07-08T07:30:46.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEwvIAH","Zaden en gereedschappen","","43022","150.0"
"a00J0000004kVZfIAM","false","PB-012227","2013-07-08T07:28:23.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFlYIAX","Het geld is nodig voor het opstarten (aanschaf zaden, tuingereedschap biggen en kippen)van bovengenoemd project. Met het gevraagde bedrag van 2800 euro kunnen wij 4 nieuwe soortgelijke projecten verspreid over de kei-eilanden opstarten.","","26","2800.0"
"a00J0000004kVZgIAM","false","PB-012243","2013-07-08T07:28:36.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","transport Maseru-Malealea","","8199","100.0"
"a00J0000004kVZhIAM","false","PB-012246","2013-07-08T07:28:38.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEyRIAX","Leidingen, routers, aansluitingen op de computers","","12159","100.0"
"a00J0000004kVZiIAM","false","PB-012249","2013-07-08T07:28:41.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNF9BIAX","Behandeling thema's door genodigden ten behoeve van inhoud krant.","","12801","400.0"
"a00J0000004kVZjIAM","false","PB-012390","2013-07-08T07:30:45.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEvxIAH","20  fietsriksja's à 150,- euro per stuk","","18697","3000.0"
"a00J0000004kVZkIAM","false","PB-012228","2013-07-08T07:28:24.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEwcIAH","bouw van de school en inrichting daarvan","","29","5000.0"
"a00J0000004kVZlIAM","false","PB-012229","2013-07-08T07:28:25.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFkPIAX","Aanschaf auto, gereedschap en materialen.","","30","150.0"
"a00J0000004kVZmIAM","false","PB-012282","2013-07-08T07:29:07.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFmuIAH","Het geld is nodig voor voorlichtingsmateriaal en apparatuur om voorlichting te ondersteunen","","133","500.0"
"a00J0000004kVZnIAM","false","PB-012301","2013-07-08T07:29:24.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFrVIAX","Voor de aanschaf van ziekenhuisbedden, een koelkast voor medicijnen, basis apparatuur en de overige inrichting van het ziekenhuis.","","162","4962.5"
"a00J0000004kVZoIAM","false","PB-012336","2013-07-08T07:29:51.000Z","005J00000018K40IAE","2013-07-08T07:39:03.000Z","005J00000018K40IAE","2013-07-08T07:39:03.000Z","a01J000000VNFkBIAX","kosten stichting,","","43844","500.0"
"a00J0000004kVZpIAM","false","PB-012230","2013-07-08T07:28:26.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAqIAP","Het geld is nodig voor zaden en twee waterpompen op zonne- energie en landbouwmaterialen.","","35","4888.0"
"a00J0000004kVZqIAM","false","PB-012405","2013-07-08T07:30:57.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYOIA5","Schop 10 stuks, Rs. 100 per stuk = euro 15","","935","15.0"
"a00J0000004kVZrIAM","false","PB-012420","2013-07-08T07:31:12.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYOIA5","Kruiwagen, 2 stuks, Rs. 1000 per stuk = euro 30","","937","30.0"
"a00J0000004kVZsIAM","false","PB-012434","2013-07-08T07:31:23.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFC5IAP","het maken van banners","","1464","150.0"
"a00J0000004kVZtIAM","false","PB-012436","2013-07-08T07:31:24.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNExqIAH","buying of fingerling","","42899","300.0"
"a00J0000004kVZuIAM","false","PB-012231","2013-07-08T07:28:26.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNExaIAH","Het mobiele operatie team uitrusten met deze specifieke eigen gereedschappen die anders steeds weer moeizaam moeten worden geleend uit het nationale Kinderziekenhuis die er dan zelf om onthand zit.","","37","2801.0"
